spec,gap_pct,ci_low,ci_high,se_pct
Baseline,-17.986024197568927,-18.512819728767802,-17.459228666370056,0.26877323020350696
Add Education,-24.95639044538491,-25.438850555078123,-24.473930335691698,0.2461531171904151
Add Person,-23.994312294679236,-24.4731365152912,-23.515488074067274,0.24429807174079698
Add Household,-22.73762403385922,-23.218786338637656,-22.256461729080783,0.24549097182573398
Only Singles,-14.092261059483283,-14.91258446182688,-13.271937657139684,0.41853234813448864
