year,gap_pct,ci_low,ci_high
2019,-23.00046811120978,-24.08330122026212,-21.917635002157446
2020,-23.974170089394352,-25.217709029078172,-22.730631149710536
2021,-23.90738170678343,-25.045880968983212,-22.768882444583646
2022,-21.413903302583652,-22.631466879227663,-20.196339725939644
2023,-22.211247352040036,-23.377961823286014,-21.04453288079406
2024,-21.816315381022505,-23.006455960990767,-20.626174801054244
